artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_id,track_pop,artist_pop
French Cassettes,Rolodex,Santa Cruz Tomorrow,3USTw0XqjY9L5LwDQF912R,0.617,0.578,8,-10.804,0,0.0364,0.324,0.354,0.795,165.972,169027,4,0VcpOwnjkQaqDeEiVa9cu5,40.0,44.0
Tōth,You and Me and Everything,I Might Be,5uKH4nY6ALq8jGNZ0BYlBH,0.688,0.548,11,-11.038,1,0.0286,0.589,0.336,0.632,127.997,216902,4,02nqs3YdfX7Th3gYTYFrqc,42.0,44.0
pizzagirl,cape canaveral,cape canaveral,1T1XMARxNMquM1K6WevjFG,0.972,0.532,7,-8.421,0,0.0635,0.00227,0.0785,0.901,130.004,221908,4,0ef7Q5r0NAMicEugmtYxjA,45.0,43.0
Gustaf,Audio Drag for Ego Slobs,Best Behavior,0ZJHhuXm33Qm9gOxRCQzzk,0.866,0.836,2,-4.567,1,0.0748,2.88e-05,0.0825,0.754,127.003,204355,4,6QqLYrbjh5CnfMG7z5r96E,41.0,36.0
Horsegirl,Billy,Billy,3JOa0D7guR3vTzRAWVV0Cy,0.237,0.767,10,-6.27,1,0.0443,0.231,0.111,0.363,107.133,228413,4,2FDvUb4YgyUPpmnm1ILPra,43.0,40.0
Quinn Christopherson,Bubblegum,Bubblegum,1I9vn1CAtjPNmyjldxfQIU,0.734,0.422,2,-11.427,1,0.0296,0.431,0.135,0.602,129.971,238333,4,0tzC81XDBWtTPfJyUg6O2j,41.0,32.0
MJ Lenderman,Knockin',TV Dinners,4LxwqKEPKxx4IavfyY2Eqy,0.651,0.514,9,-13.178,1,0.0397,0.0171,0.423,0.89,90.14,232000,4,4tK6Z8fK7Sc9133byjPGIT,35.0,36.0
Automatic,Signal,Strange Conversations,6pqUg4vVg1wDvd4anCczrY,0.64,0.535,2,-6.084,1,0.0274,0.00813,0.185,0.774,100.058,205920,4,3uX1tstdmFJyxW9b5mSNlU,41.0,43.0
KALI,CIRCLES,I Just Wanna,4GdQnebgk3kKkOGgbLYW5J,0.693,0.586,11,-5.59,0,0.0361,0.000431,0.111,0.51,108.579,254399,4,3BO07jDo7Qs7qNLdwRoISM,53.0,46.0
Coco,Coco,Last of the Loving,0y6rO1JGW02H30j8trmhSP,0.737,0.649,1,-8.073,1,0.0371,0.0112,0.118,0.514,122.932,172163,4,4NxTtZTeJqQ1n27i2qnPCe,52.0,42.0
Jamws,Toronto,Toronto,7gM7OSSKozedhoigEvPaQ7,0.658,0.479,0,-8.048,1,0.0248,0.00509,0.124,0.626,86.504,253687,4,5Dzf0U33H8rPObc1WSjNTw,56.0,40.0
alt-J,The Dream,The Actor,2nNuK9VEgzGMq2lFLAg7S3,0.625,0.604,2,-8.33,1,0.0375,0.0941,0.0607,0.624,147.987,240893,4,3XHO7cRUPCLOr6jwp8vsx5,59.0,76.0
Buck Meek,Two Saviors,Second Sight,5Igdq12AwzNoFCIvCi1xAJ,0.578,0.695,0,-6.141,1,0.0268,0.894,0.0975,0.645,98.238,237898,4,4mYY0UqYdvgdz60psupYBR,38.0,50.0
Tobacco City,"Tobacco City, USA",Never on My Mind,4z9ViersKJgj1ZwTjjfhtk,0.425,0.338,9,-12.212,1,0.0299,0.558,0.0863,0.263,124.17,225297,4,00Af3oygT0HC6ld0c2HwFX,41.0,28.0
Heatmiser,Mic City Sons,Plainclothes Man,7yYf5GF0jX6M6KywKygE0c,0.532,0.38,10,-10.526,1,0.0298,0,0.359,0.317,84.494,208000,4,59IPo3F7aZifhZtHnoGHbo,51.0,45.0
