artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_id,track_pop,artist_pop,name,album_id,release_date
Tim Darcy,Saturday Night,Still Waking Up,6ynd1GTMId8kyS8jQuvbeK,0.497,0.738,4,-4.098,1,0.0435,0.000931,0.125,0.758,126.652,144653,4,0RDwaqUYzlpmWPB5g4pSOb,35,20,daily_mix_2,4V7fp0XL4m3FrLbuIlmXBE,2017-02-17
Voxtrot,"Berlin, Without Return...","Berlin, Without Return...",7AdPPBFoqVzNwHYEBIQDH0,0.668,0.531,1,-10.781,0,0.0515,0.00487,0.102,0.33,129.492,275182,4,7b697TI9p2abLzSo3eJTKW,42,47,daily_mix_2,7CU91Y77KKgfGp6yjmnGi3,2009-08-03
KERA,Vitamin T,Vitamin T,60pNex83TSOAjoYxkhW4QE,0.505,0.42,6,-9.723,1,0.0433,1.18e-05,0.124,0.712,105.023,189195,4,0ZLjlul3kXdLihVJqJn0PR,50,34,daily_mix_2,7H5yNXCF1m2BiNx3abyWBk,2019-12-11
Strawberry Mountain,Harsh Augmented Reality,Harsh Augmented Reality,1VsVY1ySdH3nVSWnLT5vCf,0.562,0.878,11,-4.341,1,0.0305,0.0815,0.0901,0.679,145.975,242096,4,6v69fIFhI2VqebXUWcvWU1,48,35,daily_mix_2,0RAncxmZJJhL56IH2rFF2a,2020-03-19
NNAMDÏ,Bootie Noir,ART SCHOOL CRUSH,0xG4gdBtTlO6qHKPasdvZy,0.339,0.481,9,-12.972,1,0.0444,0.00952,0.302,0.814,124.89,203910,4,6gACF5PEinqx3AzMLjiH90,45,39,daily_mix_2,3G3r7LPyAWklw03MMQQ0UK,2013-05-26
Teenage Cool Kids,Denton After Sunset,Landlocked State,0UEukOdvxTzs4RtiQwDBr4,0.505,0.537,9,-7.448,1,0.0326,9.32e-06,0.125,0.585,114.683,172104,4,5aNLw2ucGnQWnEpqYqxaAk,38,25,daily_mix_2,2Hyhkd1Aev975zUweEczK1,2011-12-06
Bartees Strange,Lady Luck,Lady Luck,3FuuTusOlyjDt3prN4D6ev,0.454,0.464,9,-8.274,1,0.0363,1.99e-05,0.1,0.61,185.673,300936,4,6Gl4Q3ePw6HKMfIOix5QpG,37,42,daily_mix_2,03bSbsFyWRmrUAUCl0LAOf,2021-09-17
Pinc Louds,Delancey St. Station,Scrambled Inside,0uHl5YfXmJc9FcIyz6oGVl,0.366,0.776,0,-5.198,1,0.0549,0.0118,0.311,0.409,141.58,337667,4,5G4Nw3oz2lzx4gneIDs3YX,46,40,daily_mix_2,2zJw2W7nAqoZmLyjqkuUrA,2018-04-07
Pregnant,She Noticed,She Noticed,4H0U5Uceg2WMhMhJxnhj1C,0.655,0.978,5,-8.493,0,0.0431,0.0329,0.08,0.927,146.01,181500,4,4LkFDNJcZpdCU8AvZ68DNO,26,13,daily_mix_2,5yZe2oHaubaUt9qCMnXogg,2022-03-18
Future Crib,Friends,Astronaut,2N9Mt1z4ZINZsP7K4y2Qbu,0.48,0.327,6,-12.123,1,0.06,0.0,0.0816,0.609,153.324,186253,3,2QeQIlUXOsBbZGniOCJweR,41,29,daily_mix_2,2MZXF0Cp8kdslmerNAZivl,2019-09-06
French Cassettes,Rolodex,Santa Cruz Tomorrow,3USTw0XqjY9L5LwDQF912R,0.617,0.578,8,-10.804,0,0.0364,0.324,0.354,0.795,165.972,169027,4,0VcpOwnjkQaqDeEiVa9cu5,40,44,daily_mix_2,6ctghBlqfCckLPzhRqrdTS,2020-12-11
Tōth,You and Me and Everything,I Might Be,5uKH4nY6ALq8jGNZ0BYlBH,0.688,0.548,11,-11.038,1,0.0286,0.589,0.336,0.632,127.997,216902,4,02nqs3YdfX7Th3gYTYFrqc,42,44,daily_mix_2,0csxZuCz56owUfU6dC7Dth,2021-04-30
pizzagirl,cape canaveral,cape canaveral,1T1XMARxNMquM1K6WevjFG,0.972,0.532,7,-8.421,0,0.0635,0.00227,0.0785,0.901,130.004,221908,4,0ef7Q5r0NAMicEugmtYxjA,45,43,daily_mix_2,4ibJZbxScrxEITMATpqE2O,2020-02-19
