artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_id,track_pop,artist_pop,release_date,artist_genre,name
Alabama Shakes,Always Alright,Always Alright,6ckUX8cgcqjoNGTd2A2Pvd,0.693,0.62,9,-6.509,1,0.0424,0.844,0.112,0.571,106.346,249170,4,16GcWuvvybAoaHr0NqT8Eh,60.0,59.0,2013-12-12,alabama indie,4/12/20
Neutral Milk Hotel,In the Aeroplane Over the Sea,In the Aeroplane Over the Sea,4OciRObYGzPzlU40U7YRc8,0.271,0.714,7,-5.124,1,0.0329,0,0.115,0.239,94.158,202347,3,2ooIqOf4X2uz4mMptXCtie,0.0,54.0,1998-02-20,alternative rock,4/12/20
Fruit Bats,Gold Past Life,The Bottom of It,4zHd5GGgiH73PTU8vhrMZi,0.507,0.625,0,-10.73,1,0.0432,0.0182,0.117,0.287,77.926,181400,4,6Qm9stX6XO1a4c7BXQDDgc,0.0,54.0,2019-06-21,chamber pop,4/12/20
The Growlers,Chinese Fountain,Going Gets Tough,0dEhydwCE5Og4PLKyjfqMR,0.501,0.769,8,-6.257,1,0.0326,0,0.109,0.737,162.047,208613,4,2RhgnQNC74QoBlaUvT4MEe,61.0,59.0,2014-09-23,garage rock revival,4/12/20
Cypress Hill,Black Sunday,Hits from the Bong,0cfqYhY6B8PbGF9vaVNUeG,0.803,0.578,1,-13.264,1,0.182,0.812,0.199,0.499,92.175,160867,4,4P0dddbxPil35MNN9G2MEX,67.0,66.0,1993-07-20,chicano rap,4/12/20
Eminem,The Eminem Show,Without Me,7lQ8MOhq6IN2w8EYcFNSUk,0.908,0.669,7,-2.827,1,0.0738,0,0.237,0.662,112.238,290320,4,7dGJo4pcD2V6oG8kP0tJRR,88.0,89.0,2002-05-26,detroit hip hop,4/12/20
Blondie,Parallel Lines,Heart Of Glass,4v2rkl1mC3zVAz0nXMx9r4,0.77,0.654,4,-6.108,1,0.0361,0.00047,0.0819,0.685,114.82,229423,4,4tpUmLEVLCGFr93o8hFFIB,65.0,67.0,1978-09-23,candy pop,4/12/20
The Shins,When I Goose-Step,New Slang (When You Notice The Stripes),2V2cZiuHj1Za9DF3GAfgBu,0.614,0.388,11,-12.069,1,0.0393,0.000145,0.0879,0.584,130.367,229907,4,4LG4Bs1Gadht7TCrMytQUO,0.0,60.0,2019-12-12,albuquerque indie,1/13/20
The Sandals,The Original Soundtrack Music From Bruce Brown's The Endless Summer,"Theme From ""The Endless Summer""",0sipGTHxtDrsTH1D9FAujS,0.481,0.189,7,-16.923,1,0.0355,0.000198,0.0828,0.527,84.23,170533,3,6yaMfzgtXRzZMzaHfUtGX5,46.0,30.0,2011-01-01,,1/13/20
Saint Motel,The Original Motion Picture Soundtrack: Pt. 1,Van Horn,4UgLRXh1z9NorzrdawpIgj,0.642,0.807,8,-4.57,1,0.0421,1.73e-05,0.186,0.423,124.523,161120,4,1dWEYMPtNmvSVaDNLgB6NV,0.0,62.0,2019-10-16,la indie,1/13/20
Cage The Elephant,Social Cues,Social Cues,1KuVdyg8d6NlRhbpHxg5UF,0.668,0.913,9,-3.097,1,0.0348,6.7e-06,0.111,0.933,132.039,219053,4,26T3LtbuGT1Fu9m0eRq5X3,66.0,73.0,2019-04-19,modern alternative rock,1/13/20
Cold War Kids,Complainer / 4th of July,Complainer,57PNPoQwWae2Mna894L6py,0.709,0.462,6,-6.379,1,0.0338,1.48e-05,0.116,0.496,99.996,219573,4,6VDdCwrBM4qQaGxoAyxyJC,0.0,60.0,2019-06-18,alternative rock,1/13/20
alt-J,This Is All Yours,Left Hand Free,126TblwXGNTUZ7RPMnThkU,0.698,0.876,3,-4.45,1,0.0486,0.0133,0.0824,0.81,101.992,173631,4,3XHO7cRUPCLOr6jwp8vsx5,0.0,69.0,2014-09-22,indie rock,1/13/20
Her's,Songs of Her's,Marcel,5u9cuDcYdOpSRB7fAYXXdp,0.625,0.645,9,-5.959,1,0.0278,0.0776,0.347,0.685,106.996,187572,4,77mJc3M7ZT5oOVM7gNdXim,65.0,63.0,2017-05-12,indie pop,1/13/20
The Black Keys,Rubber Factory,The Lengths,1pwCB34vdjFdqL3PyeEhKS,0.404,0.508,8,-5.893,0,0.0265,0.000807,0.164,0.278,143.911,294933,4,7mnBLXK823vNxN3UWB7Gfz,8.0,70.0,2000-09-23,alternative rock,1/13/20
Cage The Elephant,Tell Me I'm Pretty,Trouble,5n0CTysih20NYdT2S0Wpe8,0.47,0.623,0,-5.655,1,0.0302,0.000439,0.0992,0.298,77.861,225973,4,26T3LtbuGT1Fu9m0eRq5X3,73.0,73.0,2015-12-18,modern alternative rock,1/13/20
